ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (yd),Width (yd),Height (yd),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Meta: _last_editor_used_jetpack,Meta: _alg_wc_pif_enabled_local_1,Meta: _alg_wc_pif_type_local_1,Meta: _alg_wc_pif_required_local_1,Meta: _alg_wc_pif_title_local_1,Meta: _alg_wc_pif_placeholder_local_1,Meta: _alg_wc_pif_default_value_local_1,Meta: _alg_wc_pif_class_local_1,Meta: _alg_wc_pif_style_local_1,Meta: _alg_wc_pif_required_message_local_1,Meta: _alg_wc_pif_input_restrictions_min_local_1,Meta: _alg_wc_pif_input_restrictions_max_local_1,Meta: _alg_wc_pif_input_restrictions_step_local_1,Meta: _alg_wc_pif_input_restrictions_maxlength_local_1,Meta: _alg_wc_pif_input_restrictions_pattern_local_1,Meta: _alg_wc_pif_type_file_accept_local_1,Meta: _alg_wc_pif_type_file_wrong_type_msg_local_1,Meta: _alg_wc_pif_type_file_max_size_local_1,Meta: _alg_wc_pif_type_file_max_size_msg_local_1,Meta: _alg_wc_pif_type_datepicker_format_local_1,Meta: _alg_wc_pif_type_datepicker_mindate_local_1,Meta: _alg_wc_pif_type_datepicker_maxdate_local_1,Meta: _alg_wc_pif_type_datepicker_addyear_local_1,Meta: _alg_wc_pif_type_datepicker_yearrange_local_1,Meta: _alg_wc_pif_type_datepicker_firstday_local_1,Meta: _alg_wc_pif_type_timepicker_format_local_1,Meta: _alg_wc_pif_type_timepicker_interval_local_1,Meta: _alg_wc_pif_type_color_allow_typing_local_1,Meta: _alg_wc_pif_required_price_local_1,Meta: _alg_wc_pif_required_price_character_condition_local_1,Meta: _alg_wc_pif_required_price_range_condition_local_1,Meta: _alg_wc_pif_input_restrictions_price_local_1,Meta: _alg_wc_pif_multiple_local_1,Meta: _alg_wc_pif_local_total_number,Meta: product_payment_plans,Meta: woofs_ids,Meta: woofs_sync_quantity,Meta: woofs_separately,Meta: cartflows_redirect_flow_id,Meta: cartflows_add_to_cart_text,Meta: _alg_wc_call_for_price_enabled,Meta: _alg_wc_call_for_price_text_all_views,Meta: _alg_wc_call_for_price_req_forms_enabled,Meta: _alg_wc_call_for_price_forms_shortcode,Meta: _alg_wc_call_for_price_help_text,Meta: _wp_page_template,Meta: _woopq_quantity,Meta: _woopq_type,Meta: _woopq_min,Meta: _woopq_step,Meta: _woopq_max,Meta: _woopq_value,Meta: _woopq_values,Meta: _dependency_type,Meta: _dependency_selection_type,Meta: af_crt_rule_name,Meta: af_crt_rule_type,Meta: af_crt_search_cat,Meta: af_crt_qty_h,Meta: af_crt_maximum_quantity,Meta: af_crt_minimum_quantity,Meta: af_crt_amt_h,Meta: af_crt_minimum_amount,Meta: af_crt_maximum_amount,Meta: comma_seprated_or_step,Meta: af_crt_add_coma_range,Meta: af_crt_add_step_range,Meta: af_crt_strt_date,Meta: af_crt_end_date,Meta: af_crt_total,Meta: af_crt_date_h,Meta: duration_last_date,Meta: af_crt_flat_rate,Meta: af_crt_flat_rate_tr_min_sum,Meta: af_crt_flat_rate_tr_max_sum,Meta: af_crt_fre_ship,Meta: af_crt_fre_ship_tr_min_sum,Meta: af_crt_fre_ship_tr_max_sum,Meta: af_crt_local_pick,Meta: af_crt_local_pick_min_sum,Meta: af_crt_local_pick_max_sum,Meta: af_crt_chck_pymnt,Meta: af_crt_chck_pymnt_min_sum,Meta: af_crt_chck_pymnt_max_sum,Meta: af_crt_bnk_trnsfer,Meta: af_crt_bnk_trnsfer_min_sum,Meta: af_crt_bnk_trnsfer_max_sum,Meta: af_crt_cash_delivery,Meta: af_crt_cash_delivery_max_sum_tr,Meta: af_crt_cash_delivery_min_sum,Meta: af_crt_paypal,Meta: af_crt_paypal_min_sum,Meta: af_crt_paypal_max_sum,Meta: _wc_gla_visibility,Meta: woost_overwrite,Meta: _frontend_admin_version,Meta: _elementor_data,Meta: desc1,Meta: _desc1,Meta: desc2,Meta: _desc2,Meta: desc3,Meta: _desc3,Meta: desc4,Meta: _desc4,Meta: desc5,Meta: _desc5,Meta: _wc_gla_sizeSystem,Meta: _aioseo_og_title,Meta: _aioseo_og_description,Meta: _aioseo_twitter_title,Meta: _aioseo_twitter_description,Meta: _wc_gla_condition,Meta: _wpas_done_all,Meta: _woovr_active,Meta: _aioseo_description,Meta: _wc_avatax_code,Meta: supplier_name,Meta: _supplier_name,Meta: product_cost,Meta: _product_cost,Meta: contact_name_,Meta: _contact_name_,Meta: Contact Number (Ordering),Meta: _Contact Number (Ordering),Meta: max_load,Meta: _max_load,Meta: supplier_email,Meta: _supplier_email,Meta: wppfm_product_brand,Meta: wppfm_product_gtin,Meta: wppfm_product_mpn,Meta: product_name_frt_end,Meta: _product_name_frt_end,Meta: brand,Meta: _brand,Meta: _monsterinsights_sitenote_active,Meta: _wc_gla_brand,Meta: _wc_gla_sync_status,Meta: _wc_gla_synced_at,Meta: _wc_gla_mc_status,Meta: woolentor_views_count_product,Meta: wps_old_simple_sale__price,Meta: wps_old_simple_regular__price,Meta: wppfm_exclude_from_feed,Meta: Order_100%_Online!,Meta: _Order_100%_Online!,Meta: fea_limit_visibilty,Meta: _wp_old_date,Meta: map_code,Meta: map_title,Meta: archive_link,Meta: unit_of_measure,Meta: button_text_product_category,Meta: _button_text,Meta: _elementor_template_type,Meta: _elementor_version,Meta: _elementor_pro_version,Meta: shopengine_product_views_count,Meta: wooco_pricing,Meta: wooco_discount_percent,Meta: wooco_qty_min,Meta: wooco_qty_max,Meta: wooco_same_products,Meta: wooco_shipping_fee,Meta: wooco_before_text,Meta: wooco_after_text,Meta: _woosea_exclude_product,Meta: _wcmt_max_trucks_quantity,Meta: _wcmt_min_quantity,Meta: _wcmt_max_load_quantity,Meta: _map_code,Meta: _map_title,Meta: _archive_link,Meta: _unit_of_measure,Meta: smbg_truck_conversion,Meta: _smbg_truck_conversion,Meta: _button_text_product_category,Meta: smbg_load_text_,Meta: _smbg_load_text_,Meta: woovr_name,Meta: woovr_image,Meta: woovr_image_id,Meta: wps_old_variable_sale__price,Meta: wps_old_variable_regular__price,Meta: description,Meta: woolentor_total_stock_quantity,Meta: _saleflash_text,Meta: pbq_pricing_type_enable,Meta: pbq_pricing_type,Meta: pbq_table_layout,Meta: pbq_min_quantity,Meta: pbq_max_quantity,Meta: map_area,Meta: _map_area,Meta: header_link,Meta: _header_link,Meta: _cat_link,Meta: fea_show_for,Meta: fea_redirect_to,Meta: density,Meta: _density,Meta: store_code,Meta: _store_code,Meta: _aioseo_og_article_section
39973,simple,MOF-5-14,,"Driveway Gravel | STONE DELIVERY | Wooster, Ohio",1,0,search,"Crushed Limestone Rock 3/8"" to 1 inch in diameter.","Driveway Gravel or # 57's are perfect in size, this type of crushed gravel provides excellent drainage support for any property. Consider using crushed gravel of this size as a driveway topping. <a title=""#57 gravel Specifications"" href=""http://capitolflexipave.com/wp-content/uploads/2012/08/AASHTO-57-Stone-Specs.pdf"" target=""_blank"" rel=""noopener""><span style=""text-decoration: underline;""><span style=""color: #0000ff;""><strong>#57 <i>Specifications</i></strong></span></span></a>
\n
\n&nbsp;
\n
\n<strong>           Great For</strong>
\n<ul>
\n 	<li>Drainage</li>
\n 	<li>Septic Systems</li>
\n 	<li>Landscape Rock</li>
\n</ul>
\n&nbsp;
\n
\n<strong><span style=""font-size: 8pt;"">**Color May Vary Slightly From Location To Location**</span></strong>
\n<p style=""text-align: left;""><span style=""font-size: 10pt; color: #ff6600;"">           <a title=""Refund Policy"" href=""https://milestonetrucks.com/refund_returns/"" target=""_blank"" rel=""noopener""><span style=""color: #ff6600;"">Terms &amp; Conditions - Refund Policy </span></a></span></p>
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n<p style=""text-align: left;""><span style=""text-decoration: underline;""><span style=""color: #800080; text-decoration: underline;""><a style=""color: #800080; text-decoration: underline;"" title=""Gravel &amp; Stone Wooster, Ohio"" href=""https://milestonetrucks.com/product-category/gravel-in-wooster-ohio/"" target=""_blank"" rel=""noopener""><strong> See All Related Products In Your Area</strong></a></span></span></p>
\n
\n<table style=""border-collapse: collapse; width: 0%; height: 154px;"">
\n<tbody>
\n<tr style=""height: 154px;"">
\n<td style=""width: 27.5882%; height: 154px;"">
\n
\n[caption id=""attachment_15369"" align=""alignnone"" width=""300""]<a href=""https://milestonetrucks.com/product/riprap-gravel-delivery-in-massillon-ohio/"" target=""_blank"" rel=""noopener""><img class=""wp-image-15369 size-medium"" title=""Riprap"" src=""https://milestonetrucks.com/wp-content/uploads/2023/11/Rip-Rap1000x1000-300x300.jpg"" alt=""riprap-driveway-gravel-stone-limestone-rock-large-decorative-stabilization-aggregate-natural-green-milestone-trucks-supplier"" width=""300"" height=""300"" /></a> <strong>                            Riprap</strong>[/caption]</td>
\n<td style=""width: 27.4985%; height: 154px;"">
\n
\n[caption id=""attachment_12107"" align=""alignnone"" width=""300""]<a href=""https://milestonetrucks.com/product/gravel-delivery-in-apple-creek-ohio-44606/"" target=""_blank"" rel=""noopener""><img class=""wp-image-12107 size-medium"" title=""# 411 Gravel"" src=""https://milestonetrucks.com/wp-content/uploads/2022/02/411-Gravel-300x300.webp"" alt=""411-driveway-gravel-limestone-aggregate-natural-green-leveling-base-compaction-milestone-trucks-supplier"" width=""300"" height=""300"" /></a> <strong>                          #411 Gravel </strong>[/caption]</td>
\n<td style=""width: 44.9132%; height: 154px;"">
\n
\n[caption id=""attachment_15353"" align=""alignnone"" width=""295""]<a href=""https://milestonetrucks.com/product/gravel-delivery-in-wooster-ohio-44691/"" target=""_blank"" rel=""noopener""><img class=""wp-image-15353 size-medium"" title=""#4 Stone"" src=""https://milestonetrucks.com/wp-content/uploads/2023/11/4s-295x300.jpg"" alt=""4-stone-driveway-gravel-aggregate-natural-landscape-rock-green-milestone-trucks-supplier"" width=""295"" height=""300"" /></a> <strong>                            #4 Stone</strong>[/caption]</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,200000,200,0,0,2000,,,,0,Sold by weight,,33,"Gravel, Gravel & Stone Wooster\, Ohio",,Delivery,https://milestonetrucks.com/wp-content/uploads/2023/11/57gravel.jpg,,,,,,,,,2386,Milestone,Gravel Type,"Crushed Rock, Drain Rock, Driveway Stone, Landscape Rock, Limestone, Washed Rock",1,1,Size,"3/8"" To 1""",1,1,Coverage,"1 Ton covers 90 sq ft 3 inches deep, See Calculator",1,1,Minimum,3 Tons,1,1,Location,"Beach City OH, Bolivar OH, Brewster OH, Canal Fulton OH, Canton OH, East Sparta OH, Louisville OH, Magnolia OH, Massillon OH, Mineral City OH, Navarre OH, Waynesburg OH",1,1,classic-editor,no,number,yes,Quantity ,,,,,"Field ""%title%"" is required!",,17,,,,".jpg,.jpeg,.png",Wrong file type!,0,File is too big!,,'-365,365,no,c-10:c+10,0,hh:mm p,15,no,no,flat,qty,39,no,1,,,on,off,1866,Order,no,<strong>Call for Price</strong>,none,,,default,overwrite,default,3,,17,17,,2,category_ids,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sync-and-show,off,3.0.6,[],,field_620555cdb9bc3,,field_620555ecb9bc4,"<p style=""text-align: center""><strong><span style=""font-size: 16pt""><em style=""text-align: center""><span style=""color:#ff0000"">Avoid</span></em></span></strong></p>

",field_62055603b9bc5,,field_620565b04b7b7,,field_620565bf4b7b8,US,"Driveway Gravel Delivery In Bolivar, Ohio","Order 100% Online! #57 Gravel Perfect in size, this type of crushed gravel provides excellent drainage support for any property. Consider using crushed gravel of this size is in French drains,","#post_title Delivery in Bellefontaine, Ohio #separator_sa #site_title","#57 Gravel Perfect in size, this type of crushed gravel provides excellent drainage support for any property. Consider using crushed gravel of this size is in French drains, septic drainage fields a…",new,1,default,"Driveway Gravel or # 57 Gravel Perfect in size, this type of crushed gravel provides excellent drainage support for any property. ID: 39973. Order 100% Online!",,Shelly Massilon Dispatch: (330) 405-4133 Sales: Hannah Lightener ? (216) 618-1945,field_656a9259e7716,,field_656a93c9534c2,,field_656a93fb534c3,,field_656a940c534c4,Max Load 22 Tons,field_656a9755ed954,,field_67b6be164879d,Milestone,,,# 57 Gravel ,field_657670fc8bb0e,Milestone,field_656f9cbbaf956,0,Milestone,not-synced,1702625596,not_synced,,0,35.2,no,"# 57 Gravel - Perfect in size 3/8"" to 1"" diameter, this type of crushed gravel provides excellent .. Order 100% Online!",field_6768f39292c22,0,3/1/2025,"[szbd ids= ""43360"" title="""" color=""#1A5276 ""]","Wooster, Ohio",https://milestonetrucks.com/product-category/gravel-in-wooster-ohio,(Per Ton),"Gravel &amp; Stone Wooster, Ohio",,,,,,,,,,,,,,no,22,3,22,field_676b20099a121,field_676b230faddd8,field_676b2972e915e,field_676b9a777f779,,field_676b9f3e127ff,field_676ba1953d567,,field_676ba909ad0e1,,,,,,"# 57 Gravel - Perfect in size ? to 1 inch in diameter, this type of crushed gravel provides excellent drainage support for any property.? Consider using crushed gravel of this type for driveway or bike path topping. It is a must use behind retaining walls.",,,inherit,percentage,hover_table,,,,,,,,,,1.205,field_67a0c003fc510,,field_67f880f20a62e,
39983,simple,NLW-5-1,,"Driveway Gravel | STONE DELIVERY | Orrville, Ohio",1,0,search,"Crushed Limestone Rock 3/8"" to 1 inch in diameter.","Driveway Gravel or # 57's are perfect in size, this type of crushed gravel provides excellent drainage support for any property. Consider using crushed gravel of this size as a driveway topping. <a title=""#57 gravel Specifications"" href=""http://capitolflexipave.com/wp-content/uploads/2012/08/AASHTO-57-Stone-Specs.pdf"" target=""_blank"" rel=""noopener""><span style=""text-decoration: underline;""><span style=""color: #0000ff;""><strong>#57 <i>Specifications</i></strong></span></span></a>
\n
\n<strong>             Great For</strong>
\n<ul>
\n 	<li>Drainage</li>
\n 	<li>Septic Systems</li>
\n 	<li>Landscape Rock</li>
\n</ul>
