"Business Name","Address Line 1","Address Line 2","City State Zip","Telephone","Email","Services","License Verified/Deliver/Ship"
"ABOVE THE REST AQUATICS INC","1131 EAST COMMERCIAL BLVD","","OAKLAND PARK FL  33334     ","Office - 9547483514","ABOVETHERESTPOOLS@GMAIL.COM","Pool/spa (CPC1459626)","Verified 10/20/2025"
"Agua Vida Services Inc.","P.O. Box 6464","","Vero Beach FL  32961     ","Office - 7727940586","aguavida@bellsouth.net","Pool/spa (CPC1457675)","Verified 10/20/2025"
"ALL JER CONSTRUCTION CORP","2431 W 80 St","","Hialeah FL  33016     ","Direct Line - 7863489180","alljer@jerezconstruction.com","Pool/spa (CPC1460461)","Verified 10/20/2025"
"All Miami Pools","1835 ne 197th terr","","miami FL  33179     ","Direct Line - 3057855912","steven@allmiamipools.com","Pool/spa (CPC1460260)","Verified 10/20/2025"
"All Pool Aquatics Group","1224 W. Washington Street","","Orlando FL  32805     ","Office - 4072954540","sales@amenitypool.com","Pool/spa (CPC1459571)","Verified 10/20/2025"
"All Pro Pool & Spa Repair Service Inc","2836 Atlantic Blvd","","Vero Beach FL  32960     ","Direct Line - 7725679133","allpropoolspa@bellsouth.net","Pool/spa (CPC1456778)","Verified 10/20/2025"
"ALLIGATOR POOL SERVICES","8934 SW 129 Terrace","","Miami FL  33176     ","Direct Line - 3052557946","sales@alligatorpools.com","Pool/spa (CPC1459915)","Verified 10/20/2025"
"Aloha Pool and Spa","3737 Domestic Ave. #7","","Naples FL  34104     ","Direct Line - 2395968282","Alohanaples1@gmail.com","Pool/spa (CPC1458724)","Verified 10/20/2025"
"Amenity Pool Services of Miami","11720 Biscayne Boulevard","","Maimi FL  33181     ","Office - 3058934036","sales@amenitypool.com","Pool/spa (CPC1458437)","Verified 10/20/2025"
"American Pool Service","5819 N Andrews Way","","Fort Lauderdale FL  33309     ","Office - 9045007665","NGates@americanpool.com","Pool/spa (CPC1457625)","Verified 10/20/2025"
"Anchor Pools and Spas of Manatee LLC","810 49th St E ","","Palmetto  FL  34221     ","Direct Line - 9417227377","Jseglem@anchorpoolsfl.com","Pool/spa (CPC1457328)","Verified 10/20/2025"
"Aqua 1 Pools & Spas Inc.","12485 SW 137 Ave","","Miami FL  33030     ","Cell - 7865424277","sales@aqua1pools.com","Pool/spa (CPC1457072)","Verified 10/20/2025"
"Aquatic Dreams Inc","930 SE 9th Ln Unit 5","","Cape Coral FL  33990     ","Office - 2395744437","aquaticdreamsinc@aol.com","Pool/spa (CPC1456497)","Verified 10/20/2025"
"AR Aquatics llc","16857 Windcrest Drive","","Fort Myers FL  33908     ","Direct Line - 2399940468","Reefcat1@gmail.com","Pool/spa (CPC1456976)","Verified 10/20/2025"
"Artistic Pools of Florida Inc.","2030 Weaver Park Drive","","Clearwater FL  33765     ","Cell - 7277351972,Office - 7275365055","artisticpoolsfla.office@gmail.com","Pool/spa (CPC044951)","Verified 10/20/2025"
"ASP - AMERICA'S SWIMMING POOL COMPANY OF PANAMA CITY","17710 Beach Park Trail Unit 100","","Panama City Beach FL  32413     ","Office - 8506044417","panamacity@asppoolco.com","Pool/spa (CPC1459606)","Verified 10/20/2025"
"Associated Construction Inc.","3205 BARTON RD","","Pompano Beach FL  33062     ","Direct Line - 9545887209","group5greg@outlook.com","Pool/spa (CPC1457709)","Verified 10/20/2025"
"Atlantic Pool Works","1170 SW 108Th terra ","","Davie  FL  33324     ","Direct Line - 9542743559","vianney@atlanticpoolworks.com","Pool/spa (CPC1459512)","Verified 10/20/2025"
"ATLANTIS POOLS & DR SPA","11071 Aliwanna Lane","","Fort Myers FL  33905     ","Office - 2399359050,Cell - 2392505338","atlantisswfl@gmail.com","Pool/spa (CPC1459208)","Verified 10/20/2025"
"Backyard Creations Inc","323 Piper Cover","","Santa Rosa Beach FL  32459     ","Cell - 2059651902","steffaniemcgarity@gmail.com","Pool/spa (CPC1459858)","Verified 10/20/2025"
"Balsinger Pool Construction and Remodel LLC","333 S Tamiami Trail #385","","North Port FL  34288     ","Direct Line - 9412343193","balsingerqps@gmail.com","Pool/spa (CPC1460318)","Verified 10/20/2025"
"Banyan Tree Construction, LLC","100 Wallace Ave. Ste 260","","Sarasota FL  34232     ","Direct Line - 9419004096","benjamin@banyantreeconstruction.com","Pool/spa (CPC1460001)","Verified 10/20/2025"
